D22,E22,F22,mean_WT-delta-intron-1mon-49,std_WT-delta-intron-1mon-49
41.03671631092958,41.08896714467396,40.36253219310193,40.82940521623515,0.4051670670278063
41.016144578109646,41.121745214354846,40.628090029654224,40.92199327403957,0.25994655487046336
42.34330300034471,41.422403650540055,40.91268119311255,41.55946261466577,0.7250921035064902
40.96155904212704,41.20195824271322,41.97607252246623,41.37986326910217,0.5301387075646549
41.22506591835635,41.96542911946305,41.94160309179601,41.71069937653847,0.4207396007960773
41.08968228458084,41.66829801649411,41.49791100855007,41.41863043654167,0.2973434010161774
40.72287932402558,40.951342522617516,41.632558527007056,41.10226012455005,0.47324534336225105
41.902870280328266,39.00702558626821,40.92784275813125,40.61257954157591,1.4734389348777077
40.34309557899904,39.828919212605115,41.740528922665064,40.637514571423075,0.98922941132169
40.71056230531899,41.90537677587087,40.81304736228147,41.14299548115711,0.6622270952039206
40.32424552372046,41.64530708183977,40.19839754283809,40.722650049466104,0.8015182019857531
40.87396032394132,40.62702629690077,42.334354272124266,41.27844696432212,0.9227400963598027
40.15472278429192,41.054344818536435,41.43113733627228,40.88006831303355,0.6558107595980182
40.525386736067794,41.44496590332644,39.96594397824248,40.645432205878905,0.7467828665926899
39.70731262939426,40.502422746345786,41.15718888136076,40.455641419033604,0.7260693189654307
41.33639005357958,41.75972286950529,40.96549801566853,41.3538703129178,0.397400867151676
41.57629011148492,39.75696606746893,40.80648496013761,40.713247046363826,0.9132387287600886
40.47053347569933,41.22452496868071,40.944845052993934,40.87996783245799,0.3811595245831152
41.381529429437805,41.199677881157164,41.98610416561998,41.52243715873832,0.41171326958936577
41.3631238727759,41.75392664534346,40.45377304178608,41.190274519968476,0.6670888413736739
41.1017524870838,40.17696384953459,41.11780872301175,40.798841686543376,0.5386218374704957
41.039856768960114,41.56141549482822,41.655847147945074,41.41903980391114,0.3317591969691215
41.09024619425773,41.010999958747064,41.44259298391545,41.18127971230675,0.22974651444534758
41.55666524296576,41.12223944816565,39.98977404661117,40.889559579247525,0.808944958790891
40.83435296498762,41.1212407919637,41.55856700482383,41.171386920591715,0.36470189132530206
40.54289074385384,40.95208452693052,40.86563898843752,40.78687141974063,0.2156690414407366
40.46537831248905,41.207662291835696,41.66319726335309,41.11207928922594,0.604602880040427
40.47486516280601,40.66714237531571,40.8143233840331,40.652110307384945,0.1702276219929408
40.27551080193341,42.419879667815074,40.895152844982626,41.19684777157703,1.1035598442269732
40.85707017220722,38.96797201054592,41.922615388311854,40.582552523688335,1.4963286159648477
41.23693359999746,41.90924023782054,41.27636986082639,41.47418123288146,0.37728776550661847
